actor,blurb,country,director,id,images,lang,name,player_list,remarks,score,type,update,year
,完结季,日本,,1158,https://tva4.sinaimg.cn/mw2000/00858VDpgy1gzpqkmsyjuj31ie1z4qfo.jpg,,零之使魔 FINAL第四季,"[{'name': '主线路', 'url': '第01集$omofun-9d1a4043c07d6d1b#第02集$omofun-f54dc772c0e20e49#第03集$omofun-59d8ea91215248fe#第04集$omofun-ab11fbc931842d2f#第05集$omofun-cff5481c22bb5c01#第06集$omofun-ae9ca0230501ec7b#第07集$omofun-4bbcb9848894d147#第08集$omofun-d0cc9075b4407539#第09集$omofun-263197257daedc21#第10集$omofun-90ec49e046e0f184#第11集$omofun-0501487574172ce9#第12集$omofun-17b08378ad77326e'}]",,8.0,喜剧 / 动作 / 爱情 / 动画 / 战争 / 奇幻,2022-02-25 14:24:56,2012
,世界第一的暗杀者投胎成暗杀世家的长男重生了。 他在异世界接下的任务只有一项──「杀了被预言会带给人类灾厄的『勇者』」。 为完成这项高贵任务，暗杀者带着美丽的随从们于异世界暗中活动。 在现代曾让万般暗杀方式变得可行的广泛知识及经验， 还有暗杀者家族被誉为异世界最强的秘术与魔法。 一切都相辅相成，使他逐步成为史上无人能及的暗杀者──,日本,"SILVER,LINK.",896,https://tva3.sinaimg.cn/large/008kBpBlgy1gv5zr7s58rj605i07nglz02.jpg,日语,世界顶尖的暗杀者转生为异世界贵族,"[{'name': '主线路', 'url': '第01集$omofun-eb0b5e1cbb8d18e1#第02集$omofun-bd1b489e45305d03#第03集$omofun-4fff4605a7d9e7f1#第04集$omofun-2040f5202d7632a0#第05集$omofun-fb99166df375e97a#第06集$omofun-a407b6d70644783e#第07集$omofun-35fb97c4cd0f8600#第08集$omofun-c8b828217c266223#第09集$omofun-cc7f974589dc572c#第10集$omofun-95d0f2824ed092b2#第11集$omofun-005448ac1797d17a#第12集$omofun-39b7f880d3e49f0f'}]",,6.8,"奇幻,战斗,动漫,日漫",2022-01-22 20:11:18,2021
,如果与守备坚固的辣妹交往的话！？全是初体验的“辣妹×非现充少年”交往的辣妹恋爱喜剧！ 新学期——那是新的邂逅的季节。在放眼望去尽是情侣的教室里，羽柴纯一苦恼着。“为啥我还是DT童贞啊！？”为了DT毕业这一夙愿，最快的捷径是向辣妹下跪拜托，从朋友那里听闻此事的纯一，向同班的辣妹·八女由佳奈下跪并告白！！结果由佳奈的回复竟然是OK！？纯一的命运究竟将如何？？,日本,古川博之,315,http://tva1.sinaimg.cn/large/0085VwIlgy1gsne9zu0q2j61401hc4qq02.jpg,日语,第一次的辣妹,"[{'name': '主线路', 'url': '第01集$omofun-ba76cf1bf6f2b6df#第02集$omofun-5967af3e0beb8e81#第03集$omofun-7cdeb476ad0061ae#第04集$omofun-c3975c8f4db31a77#第05集$omofun-75a9f1618aa83bbd#第06集$omofun-b812eea08d4de4d3#第07集$omofun-4f05895b8ab47df2#第08集$omofun-fd94ba9bd434c969#第09集$omofun-5bc3804c60847eec#第10集$omofun-5a44e31e5d84c28b#OAD$omofun-55b0c733b1a2e3c2'}]",,8.0,"校园,搞笑,动漫,日漫",2022-01-22 20:09:01,2017
,“接下来就和妈妈一起好好冒险吧。” “最好是这样啦……” 极度溺爱大好真人的母亲──大好真真子也来到游戏世界了！ 以妈妈的身份在公会里主张“搞不好会成为未来的女朋友”， 所以一一面试真人所选的伙伴。 在黑暗的洞窟里发出光芒，靠着枕大腿将怪物给催眠。 手持可以发动全体攻击而且还是二连击的圣剑， 表现出连真人都目瞪口呆的大活跃！？,日本,岩崎良明,710,http://TVA1.sinaimg.cn/large/0085VwIlgy1gt07rb7ax0j61ko285e8102.jpg,日语,普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗？,"[{'name': '主线路', 'url': '第01集$omofun-74e7c842c7854861#第02集$omofun-066adaa1eab65c88#第03集$omofun-73b6a0cc24ce69a8#第04集$omofun-f804c33c6594a09a#第05集$omofun-cb98bcb6c62a3db5#第06集$omofun-b59766d8b70d7072#第07集$omofun-7bfc687331d576aa#第08集$omofun-513ee8fec5e5de24#第09集$omofun-555902ab952bd41a#第10集$omofun-3d2c168ef7a77b65#第11集$omofun-c05ee895f1b2c839#第12集$omofun-031efb7ad60abe03#OVA$omofun-0e09465972497b4c'}]",,3.0,"搞笑,冒险,奇幻,战斗,动漫,日漫",2022-01-22 20:10:31,2019
,百年战争，血海横流。经过无数次的战场杀戮，曾经认为单凭自己的力量便能在乱世生存的格斯（岩永洋昭 配音）逐渐和卡斯嘉等战友们建立起深厚的信任感和友谊。他所依附的佣兵部队“鹰之团”更是扶摇直上，凭借朝强大的战斗力成为了米特兰王国的正规军。与此同时，米特兰准备向尤达王国铜墙铁壁一般的致命要塞多尔多雷发动总攻。格里菲斯主动请缨出征，走出了决定百年战争战局至关重要的一步。然而一度令格斯甘愿弄脏双手的“鹰之团”队长格里菲斯（樱井孝宏 配音），却似乎在荣耀的光环下慢慢变质。宫闱之争，心与心渐次遥远……　　本片根据漫,日本,,1148,https://tva2.sinaimg.cn/mw2000/00858VDpgy1gzmgmhbsfbj30tl15yn54.jpg,,剑风传奇 黄金时代篇2：多尔多雷攻略,"[{'name': '主线路', 'url': '剧场版$omofun-b3849b89670e5ba0'}]",,8.0,剧情 / 动作 / 动画 / 战争,2022-02-22 18:28:53,2012
,空前绝后的笨蛋，就在这里！ 笨到无可救药的女高中生·花畑佳子。非常喜欢香蕉。非常喜欢青梅竹马的阿君。以上！,日本,草川启造,349,http://tva1.sinaimg.cn/large/0085VwIlgy1gsopzpuq5pj60rh12bwlk02.jpg,日语,笨女孩,"[{'name': '主线路', 'url': '第01集$omofun-49c507031b50064b#第02集$omofun-b802e43e8dc185a5#第03集$omofun-b67360ab17fd4055#第04集$omofun-bf694895d2cf0c43#第05集$omofun-f0c5ee7f3f334986#第06集$omofun-068e1fdf4d57eca1#第07集$omofun-96263ca6d403fc56#第08集$omofun-c1f72895d636df1e#第09集$omofun-21812515dc93d0bb#第10集$omofun-14c9b3fde8ccc592#第11集$omofun-0b3e3a2926a0e395#第12集$omofun-c13fb8057474cec9'}]",,10.0,"搞笑,校园,动漫,日漫",2022-01-22 20:09:09,2017
,召集了各个分野上的超一流的高中生，为培育他们成长而设立的政府公认特权学园「私立希望之峰学园」。在这个学园，存在着云集了超高校级的才能的&quot;本科&quot;，与只要支付了高额学费就谁都能够入学的&quot;预备学科&quot;两个学科。 不仅仅是才能，连性格也充满了个性的第77期本科生。他们不只是固执于他们的才能，而是学习到了『对于人生来说重要的不是才能，是在与人之间的交流中研磨人格与创造回忆』，各自像普通的高中生一样讴歌着学园生活。,日本,,1264,https://tva2.sinaimg.cn/mw2000/00858VDpgy1h07jw2r16jj30b90fymyi.jpg,,弹丸论破3 -The End of 希望之峰学园- 绝望篇,"[{'name': '主线路', 'url': '第01集$omofun-57e11155c6fbf670#第02集$omofun-952445069b07fe2d#第03集$omofun-39be4498fc0fa489#第04集$omofun-025822cc5204ba81#第05集$omofun-fa9646bc3b2586bc#第06集$omofun-e0dceb32c48f7e67#第07集$omofun-0f933d060ea473f3#第08集$omofun-145b33ef1479ca5d#第09集$omofun-18c1822b2b6942db#第10集$omofun-d6fc688cf9112ecc#第11集$omofun-83cf619f6d534aa7#第12集$omofun-437c6de7b2a671b8'}]",,6.7,剧情 / 动画 / 悬疑,2022-03-13 00:14:31,2016
,某个大陆的、某个时代。 大陆南北分割的战争结束了，世界逐渐走向了和平。 在战争中、作为军人而战斗的薇尔莉特·伊芙加登离开了军队，来到了大港口城市。怀抱着战场上一个对她而言比谁都重要的人告诉了她“某个话语”――。 街道上人群踊跃，有轨电车在排列着煤气灯的马路上穿梭着。薇尔莉特在街道上找到了“代写书信”的工作。那是根据委托人的想法来组织出相应语言的工作。 她直面着委托人、触碰着委托人内心深处的坦率感情。与此同时，薇尔莉特在记录书信时，那一天所告知的那句话的意思也逐渐接近了。,日本,石立太一,455,http://TVA1.sinaimg.cn/large/0085VwIlgy1gsqwxzfsxij60hs0q440e02.jpg,日语,紫罗兰永恒花园,"[{'name': '主线路', 'url': '第01集$omofun-ba03f298c98c8ebe#第02集$omofun-bc8aa7f090148ca0#第03集$omofun-9ef33c3bc2794be6#第04集$omofun-d0b6c15c63414146#第05集$omofun-3da4f64ce72fd922#第06集$omofun-ff0f50d39edf2b75#第07集$omofun-ca53037ec4ef9422#第08集$omofun-9c5423b0b275466c#第09集$omofun-bef99237ecb5fce5#第10集$omofun-13f87fcc578b6fd6#第11集$omofun-e5e84a723068bfb4#第12集$omofun-3f883f4b1fa8593b#第13集$omofun-b0fd37fb33e7324e'}]",,6.0,"奇幻,恋爱,治愈,动漫,日漫",2022-01-22 20:09:34,2018
,在府上高中有个有名的不良学生、“风间一派”的头领风间坚次，为了提高知名度而与“风间一派”的另外外两名成员──看上去有点恐龙型的横缟及Long&amp;Wide的长山，一同进入了游戏制作部（伪）。 在那里竟然发现几位部员正在灭火，而其中一位部员柴崎芦花却说那都只是幻觉。 在那种情况下，坚次还是选择了先灭火，事后“风间一派”的另两位成员却被那几位部员攻击，坚次也得知她们各代表了一个属性。 而刚才她们的行为也是为了让那三位忘掉刚才的事，从部员手中拼死逃出来的坚次，遭到了部员们的追逐，最后因柴崎芦花的暗属性技能被,日本,菅原静贵,766,http://tva1.sinaimg.cn/large/0085VwIlgy1gsakc1of4cj60m80vb7bv02.jpg,日语,属性同好会,"[{'name': '主线路', 'url': '第01集$omofun-aa026d3838c8ea96#第02集$omofun-225498d5471ce1d8#第03集$omofun-98671e673f10a098#第04集$omofun-7de83c8aaf35edc0#第05集$omofun-2bee5cb5637264b5#第06集$omofun-d8173fdfd4e04964#第07集$omofun-379549c373454430#第08集$omofun-f6c14e8eb99d304f#第09集$omofun-e8cc4c68195e80ce#第10集$omofun-fb44a13f64184c38#第11集$omofun-3f81457f9db76353#第12集$omofun-eef0cc2c859f36cd'}, {'name': '临时线路', 'url': '第01集$https://m3u8.omofun.tv/dm1/sxthh/1.m3u8#第02集$https://m3u8.omofun.tv/dm1/sxthh/2.m3u8#第03集$https://m3u8.omofun.tv/dm1/sxthh/3.m3u8#第04集$https://m3u8.omofun.tv/dm1/sxthh/4.m3u8#第05集$https://m3u8.omofun.tv/dm1/sxthh/5.m3u8#第06集$https://m3u8.omofun.tv/dm1/sxthh/6.m3u8#第07集$https://m3u8.omofun.tv/dm1/sxthh/7.m3u8#第08集$https://m3u8.omofun.tv/dm1/sxthh/8.m3u8#第09集$https://m3u8.omofun.tv/dm1/sxthh/9.m3u8#第10集$https://m3u8.omofun.tv/dm1/sxthh/10.m3u8#第11集$https://m3u8.omofun.tv/dm1/sxthh/11.m3u8#第12集$https://m3u8.omofun.tv/dm1/sxthh/12.m3u8'}]",,3.0,"搞笑,校园,恋爱,动漫,日漫",2022-01-22 20:10:47,2014
,电视动画《天才王子的赤字国家振兴术》改编自鸟羽彻创作的同名轻小说作品，于2021年1月31日宣布动画决定。 坐落于卜诺大陆的诸多国家之一—— 纳特拉王国，它位于大陆最北端，国内缺乏资源。因为国王身体抱恙，年轻王子维恩·萨雷玛·艾尔巴雷斯特得以摄政。 虽然维恩精通于政事，但其本性则是希望能够过上悠闲自得的退休生活！因此只想着将纳特拉王国这个烫手山芋尽快转让给他人，可无心插柳柳成荫，王国在他的带领下变得愈发强大，而维恩的才华也不可避免地展现在了世人之前。,日本,,959,https://tva2.sinaimg.cn/mw2000/00858VDpgy1h0bnyxlng0j31jk26jb29.jpg,日语,天才王子的赤字国家振兴术,"[{'name': '主线路', 'url': '第01集$omofun-e18d8664c403769f#第02集$omofun-19b5eb1cde94d506#第03集$omofun-2dad8e5e6c7adac2#第04集$omofun-1cb4cdcab1cc2b7f#第05集$omofun-90ebeca04cf2eac5#第06集$omofun-91a38f08c317af60#第07集$omofun-b1ae14e9d4082fbc#第08集$omofun-f733063cc6adc70a#第09集$omofun-36136f3dba8ac66b#第10集$omofun-7df2c700e5c9f9ee#第11集$omofun-2a8e035a7cb2cf28#第12集$omofun-bcd1769470456b7a#第13集$omofun-be343d6d3851716d'}]",,8.8,"奇幻,冒险,动漫,日漫",2022-01-22 20:11:32,2022
